date,city,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,solar_radiation_mj_m2,wind_max_m_s,wind_avg_m_s
2013-01-01,대구,3.8,-4.6,-1.5,0.0,9.27,18.4,8.6
2013-01-01,부산,6.7,-1.4,2.6,0.6,9.48,26.0,13.1
2013-01-01,서울,0.7,-14.5,-6.8,1.7,8.6,18.4,12.0
2013-01-01,인천,0.8,-10.3,-3.7,1.5,8.44,21.7,14.4
2013-01-02,대구,-2.5,-13.5,-6.1,0.0,11.29,15.6,11.6
2013-01-02,부산,3.9,-4.9,0.1,0.0,11.42,20.3,17.0
2013-01-02,서울,-6.9,-20.1,-13.7,0.0,10.93,20.0,12.5
2013-01-02,인천,-5.6,-14.8,-11.2,0.0,10.14,26.0,18.1
2013-01-03,대구,-6.4,-16.1,-11.6,0.0,11.8,18.6,14.8
2013-01-03,부산,-2.4,-6.7,-5.0,0.0,11.7,26.5,23.6
2013-01-03,서울,-10.7,-22.8,-17.0,0.0,11.53,13.9,11.1
2013-01-03,인천,-9.8,-17.4,-14.0,0.0,11.04,17.8,14.3
2013-01-04,대구,-3.7,-14.7,-9.0,0.0,11.9,12.4,8.3
2013-01-04,부산,1.0,-6.6,-3.1,0.0,12.35,19.9,12.6
2013-01-04,서울,-8.8,-22.6,-14.9,0.0,11.51,8.6,4.6
2013-01-04,인천,-7.9,-18.9,-13.1,0.0,11.22,11.3,7.3
2013-01-05,대구,-0.3,-9.9,-5.9,0.0,11.42,15.6,8.4
2013-01-05,부산,2.4,-2.7,-0.7,0.0,12.01,16.1,12.5
2013-01-05,서울,-1.8,-21.2,-10.8,0.0,8.27,12.2,6.6
2013-01-05,인천,-1.0,-15.2,-7.9,0.0,7.63,11.6,8.0
2013-01-06,대구,0.6,-8.2,-4.0,0.0,8.71,10.0,7.5
2013-01-06,부산,4.2,-1.6,0.5,0.0,9.61,15.3,10.5
2013-01-06,서울,-3.9,-15.3,-8.8,0.0,10.64,14.0,6.4
2013-01-06,인천,-3.5,-13.7,-8.9,0.0,10.73,13.2,8.2
2013-01-07,대구,0.9,-6.2,-3.3,0.0,11.03,11.8,7.8
2013-01-07,부산,5.3,-0.8,1.3,0.0,12.12,13.2,9.9
2013-01-07,서울,-2.1,-13.6,-7.9,0.0,8.99,9.4,6.3
2013-01-07,인천,-2.3,-12.6,-7.7,0.0,8.61,9.7,7.4
2013-01-08,대구,2.3,-8.1,-2.8,0.0,11.73,13.4,8.8
2013-01-08,부산,5.9,-0.6,1.9,0.0,11.55,17.2,12.0
2013-01-08,서울,-1.4,-11.1,-7.2,0.0,11.05,13.9,8.5
2013-01-08,인천,-1.2,-11.6,-6.5,0.0,10.84,16.9,10.3
2013-01-09,대구,-2.9,-9.5,-6.6,0.0,12.13,18.3,14.1
2013-01-09,부산,1.1,-4.4,-1.3,0.0,12.33,23.7,21.5
2013-01-09,서울,-7.0,-17.5,-12.5,0.0,11.67,15.3,11.6
2013-01-09,인천,-6.5,-10.5,-8.6,0.0,11.24,19.4,16.1
2013-01-10,대구,-2.7,-13.4,-8.0,0.0,12.29,16.7,13.0
2013-01-10,부산,1.0,-4.6,-2.6,0.0,12.72,24.3,20.1
2013-01-10,서울,-4.9,-14.7,-10.1,0.0,11.69,12.8,9.0
2013-01-10,인천,-4.3,-13.1,-8.4,0.0,11.44,13.1,9.6
2013-01-11,대구,2.2,-8.3,-2.4,0.0,12.04,8.0,5.0
2013-01-11,부산,4.4,-3.2,0.2,0.0,12.47,12.7,7.8
2013-01-11,서울,0.5,-16.0,-7.8,0.0,10.61,11.2,7.9
2013-01-11,인천,0.4,-11.2,-4.5,0.0,10.16,10.4,8.9
2013-01-12,대구,6.7,-0.8,1.7,0.0,10.74,14.1,6.0
2013-01-12,부산,8.7,2.1,4.8,0.0,12.3,15.7,9.7
2013-01-12,서울,1.7,-6.7,-1.9,0.3,6.09,17.0,10.8
2013-01-12,인천,2.0,-3.3,-0.4,0.1,5.97,19.1,12.4
2013-01-13,대구,6.1,-2.2,1.4,0.0,6.34,7.9,5.8
2013-01-13,부산,7.4,2.1,5.0,0.1,6.03,13.7,10.9
2013-01-13,서울,2.9,-6.5,-2.8,0.0,8.52,11.6,6.6
2013-01-13,인천,2.9,-6.4,-2.2,0.0,8.45,9.7,7.2
2013-01-14,대구,6.2,-3.2,0.8,0.0,12.3,20.6,10.9
2013-01-14,부산,8.2,1.7,4.9,0.0,12.6,24.1,16.6
2013-01-14,서울,2.5,-9.2,-4.1,0.0,9.66,16.3,9.5
2013-01-14,인천,3.0,-6.8,-2.8,0.0,9.46,20.4,11.5
2013-01-15,대구,6.2,-2.7,1.1,0.0,10.86,9.0,5.5
2013-01-15,부산,6.5,1.0,3.5,0.0,10.58,11.6,9.2
2013-01-15,서울,1.6,-8.7,-3.7,0.0,8.51,9.1,6.2
2013-01-15,인천,0.9,-7.0,-3.4,0.0,8.32,10.9,6.5
2013-01-16,대구,5.3,-3.1,1.1,0.0,8.82,12.7,7.0
2013-01-16,부산,7.3,1.3,4.1,0.0,11.29,19.5,10.4
2013-01-16,서울,0.3,-7.3,-3.9,0.0,4.63,13.9,8.0
2013-01-16,인천,0.3,-5.7,-3.1,0.2,5.1,19.3,10.7
2013-01-17,대구,1.6,-4.0,-1.8,0.0,10.51,16.3,13.8
2013-01-17,부산,3.2,-1.9,0.4,0.0,10.48,21.4,19.5
2013-01-17,서울,-1.0,-9.0,-5.3,0.0,11.59,11.7,8.0
2013-01-17,인천,-1.6,-7.5,-5.0,0.0,11.57,15.9,11.7
2013-01-18,대구,3.5,-6.3,-2.3,0.0,12.95,11.7,8.7
2013-01-18,부산,5.0,-2.2,1.0,0.0,13.27,16.3,11.9
2013-01-18,서울,-0.6,-11.4,-5.8,0.0,11.75,12.4,6.0
2013-01-18,인천,-0.8,-9.6,-4.7,0.0,11.58,12.7,7.3
2013-01-19,대구,5.3,-4.4,-0.1,0.0,10.57,11.5,7.2
2013-01-19,부산,6.7,-0.3,2.5,0.0,13.25,15.6,11.8
2013-01-19,서울,4.1,-4.5,-0.7,0.0,8.49,14.8,8.3
2013-01-19,인천,4.0,-3.6,-0.2,0.0,9.0,16.3,9.2
2013-01-20,대구,7.5,-1.7,2.4,0.0,8.76,9.8,5.1
2013-01-20,부산,8.4,0.7,4.9,0.0,8.97,13.0,8.9
2013-01-20,서울,5.6,-5.4,0.1,0.0,7.34,12.4,7.8
2013-01-20,인천,4.9,-5.3,0.2,0.0,7.21,13.4,8.4
2013-01-21,대구,4.7,1.3,3.0,11.9,0.93,7.8,4.3
2013-01-21,부산,10.0,6.6,8.1,16.2,1.54,16.0,10.8
2013-01-21,서울,2.4,0.4,1.8,20.4,1.19,17.8,13.0
2013-01-21,인천,2.6,1.6,2.1,19.5,1.15,21.0,16.0
2013-01-22,대구,5.8,1.7,3.4,0.7,3.49,12.5,6.7
2013-01-22,부산,7.6,5.6,6.6,0.5,3.6,20.3,14.0
2013-01-22,서울,5.9,0.8,2.7,2.5,4.25,8.6,6.9
2013-01-22,인천,5.4,1.2,2.7,1.9,4.34,11.7,8.5
2013-01-23,대구,4.9,0.4,2.6,1.8,3.99,5.2,3.2
2013-01-23,부산,6.9,4.7,5.8,2.6,4.21,16.4,10.3
2013-01-23,서울,2.4,-0.7,1.1,2.1,2.35,14.2,9.0
2013-01-23,인천,2.2,-0.1,1.4,2.0,2.71,16.2,11.4
2013-01-24,대구,7.2,-2.7,1.3,0.0,8.4,19.9,9.9
2013-01-24,부산,7.6,0.1,3.6,0.0,9.21,26.4,14.9
2013-01-24,서울,2.8,-7.2,-1.2,0.8,8.9,24.7,14.8
2013-01-24,인천,2.3,-6.6,-0.8,0.2,9.15,30.0,17.8
2013-01-25,대구,-0.7,-5.4,-3.8,0.0,13.65,20.4,16.5
2013-01-25,부산,1.5,-3.0,-1.3,0.0,13.89,26.9,19.5
2013-01-25,서울,-6.3,-10.9,-8.8,0.0,12.75,20.5,18.0
2013-01-25,인천,-6.6,-10.2,-8.5,0.0,12.63,23.6,21.0
2013-01-26,대구,-0.8,-7.3,-4.6,0.0,14.04,20.0,14.7
2013-01-26,부산,1.2,-4.0,-1.9,0.0,14.26,22.6,18.5
2013-01-26,서울,-4.6,-12.4,-9.1,0.0,13.08,19.7,15.8
2013-01-26,인천,-4.9,-11.4,-8.7,0.0,13.11,23.5,19.4
2013-01-27,대구,-0.1,-6.4,-3.9,0.0,12.44,23.7,14.6
2013-01-27,부산,1.9,-3.8,-1.8,0.0,13.01,27.6,19.7
2013-01-27,서울,-3.1,-11.0,-7.5,0.0,12.62,18.6,10.9
2013-01-27,인천,-3.1,-9.4,-6.6,0.0,12.69,21.8,14.2
2013-01-28,대구,5.2,-6.2,-1.3,0.0,13.87,12.2,7.8
2013-01-28,부산,5.6,-2.8,0.8,0.0,14.22,19.4,12.7
2013-01-28,서울,1.2,-10.5,-4.1,0.0,9.63,8.9,5.9
2013-01-28,인천,1.4,-8.7,-3.5,0.0,8.87,11.9,8.2
2013-01-29,대구,9.9,-0.3,4.0,0.0,13.1,8.2,3.6
2013-01-29,부산,8.5,-0.5,4.6,0.0,13.38,11.7,7.8
2013-01-29,서울,6.7,-1.8,1.9,0.2,5.95,14.3,8.3
2013-01-29,인천,6.4,-1.0,2.2,0.4,6.55,14.2,10.8
2013-01-30,대구,11.0,1.9,5.8,0.0,13.33,8.1,3.2
2013-01-30,부산,10.6,1.5,6.4,0.0,13.95,9.4,6.8
2013-01-30,서울,8.3,-0.3,3.5,0.0,5.3,10.0,6.2
2013-01-30,인천,8.2,0.4,3.8,0.0,5.59,9.7,7.3
2013-01-31,대구,13.2,1.4,6.1,0.0,11.96,9.8,4.8
2013-01-31,부산,11.9,4.6,9.0,0.0,12.21,11.2,7.0
2013-01-31,서울,12.3,-1.7,4.5,0.0,11.95,10.8,7.5
2013-01-31,인천,11.1,-0.9,4.8,0.0,11.92,12.4,9.1
2013-02-01,대구,11.7,3.9,8.5,21.6,0.98,21.6,12.0
2013-02-01,부산,13.1,10.1,11.9,37.5,1.38,34.4,20.0
2013-02-01,서울,8.3,3.1,6.4,33.6,0.97,20.6,11.2
2013-02-01,인천,7.8,1.8,5.8,29.2,0.99,23.0,13.5
2013-02-02,대구,8.4,-2.8,3.7,0.0,14.11,17.8,12.1
2013-02-02,부산,10.6,1.9,7.3,0.0,14.28,18.6,14.9
2013-02-02,서울,1.6,-5.4,-2.2,0.0,13.86,18.4,12.9
2013-02-02,인천,0.5,-5.0,-2.5,0.0,13.94,21.9,17.4
2013-02-03,대구,6.2,-4.2,0.8,1.8,8.29,6.8,5.0
2013-02-03,부산,8.3,0.4,4.6,1.1,10.85,15.4,8.1
2013-02-03,서울,0.6,-6.6,-2.9,3.3,4.54,8.4,5.8
2013-02-03,인천,-0.6,-5.5,-3.1,3.9,4.42,11.8,7.7
2013-02-04,대구,6.7,-1.3,2.9,6.7,9.85,19.1,9.0
2013-02-04,부산,9.5,2.6,7.5,4.3,8.43,17.8,10.1
2013-02-04,서울,2.8,-7.0,-1.5,3.7,12.78,18.1,10.5
2013-02-04,인천,2.0,-6.2,-1.4,3.5,12.46,21.9,13.1
2013-02-05,대구,6.9,-2.0,2.4,1.7,4.58,8.3,4.6
2013-02-05,부산,8.7,2.5,6.2,2.9,4.51,20.2,14.9
2013-02-05,서울,4.2,-13.0,-3.3,4.9,6.41,8.1,5.6
2013-02-05,인천,2.6,-11.9,-3.8,5.5,6.64,9.1,6.8
2013-02-06,대구,5.2,-0.7,2.2,1.2,11.41,15.3,9.4
2013-02-06,부산,8.7,1.6,5.7,0.4,12.94,17.8,13.3
2013-02-06,서울,0.2,-7.6,-2.5,4.1,14.21,13.9,9.7
2013-02-06,인천,0.0,-4.6,-2.3,3.3,14.25,16.5,13.9
2013-02-07,대구,-0.3,-10.0,-4.5,0.0,14.72,20.6,15.9
2013-02-07,부산,1.1,-7.0,-1.5,0.0,13.09,25.1,19.6
2013-02-07,서울,-8.4,-17.5,-13.2,0.0,15.74,22.4,18.4
2013-02-07,인천,-4.0,-15.3,-11.9,0.0,15.3,29.3,24.7
2013-02-08,대구,-1.0,-12.9,-7.2,0.0,15.89,20.1,11.9
2013-02-08,부산,-0.3,-9.6,-4.7,0.0,14.51,26.5,16.6
2013-02-08,서울,-11.7,-21.3,-16.9,0.0,16.12,16.5,6.6
2013-02-08,인천,-12.3,-19.9,-15.7,0.0,15.86,24.2,10.2
2013-02-09,대구,1.1,-7.1,-3.5,0.0,15.13,12.9,9.0
2013-02-09,부산,3.0,-2.8,-0.3,0.0,15.45,14.6,10.6
2013-02-09,서울,-5.0,-21.1,-12.2,0.0,13.39,9.1,4.9
2013-02-09,인천,-5.2,-18.9,-10.9,0.0,12.35,9.8,5.9
2013-02-10,대구,6.2,-5.5,-0.6,0.0,15.38,16.9,8.6
2013-02-10,부산,6.7,-2.0,1.7,0.0,15.8,14.6,12.0
2013-02-10,서울,-2.1,-13.1,-6.7,0.0,15.31,15.2,9.9
2013-02-10,인천,-2.5,-9.6,-5.4,0.0,15.2,18.1,11.9
2013-02-11,대구,3.7,-5.2,-1.3,0.0,16.15,12.3,9.0
2013-02-11,부산,4.7,-2.1,1.2,0.0,16.24,19.0,11.9
2013-02-11,서울,-5.3,-15.8,-11.0,0.0,16.31,12.5,6.4
2013-02-11,인천,-6.8,-15.1,-10.4,0.0,16.14,14.5,7.9
2013-02-12,대구,4.0,-2.8,0.5,1.0,5.8,13.8,5.0
2013-02-12,부산,6.7,-0.7,3.2,0.9,5.42,21.6,9.7
2013-02-12,서울,-2.3,-12.1,-7.0,0.0,11.21,13.1,7.2
2013-02-12,인천,-3.3,-11.6,-6.9,0.0,10.95,15.3,8.5
2013-02-13,대구,5.7,-3.6,0.2,0.0,16.52,9.9,7.1
2013-02-13,부산,5.8,-1.5,1.7,0.0,16.77,17.1,10.5
2013-02-13,서울,0.2,-14.2,-5.8,0.0,16.09,9.5,5.5
2013-02-13,인천,-0.1,-11.7,-5.2,0.0,15.83,10.5,6.6
2013-02-14,대구,9.1,-0.7,3.6,0.0,15.51,6.4,3.9
2013-02-14,부산,8.5,1.2,4.5,0.0,15.49,7.4,5.7
2013-02-14,서울,3.5,-8.5,-2.2,0.0,14.51,10.1,6.9
2013-02-14,인천,2.6,-7.4,-2.5,0.0,13.93,10.3,7.4
2013-02-15,대구,6.9,-2.6,1.9,0.0,16.06,19.1,11.5
2013-02-15,부산,8.5,-0.4,4.8,0.0,16.12,20.6,13.8
2013-02-15,서울,1.3,-6.7,-2.3,0.0,16.49,21.5,12.6
2013-02-15,인천,1.2,-5.7,-1.9,0.0,16.44,23.8,15.7
2013-02-16,대구,4.2,-4.5,-0.6,0.0,17.25,13.0,9.6
2013-02-16,부산,5.1,-2.1,1.2,0.0,17.55,19.8,11.8
2013-02-16,서울,0.7,-8.3,-3.8,0.0,16.48,12.0,6.3
2013-02-16,인천,-0.1,-6.9,-3.7,0.0,16.42,13.6,7.0
2013-02-17,대구,7.2,-1.4,2.7,0.3,7.02,13.3,4.9
2013-02-17,부산,8.1,0.3,4.8,1.1,6.29,13.8,7.5
2013-02-17,서울,7.1,-4.6,0.8,0.2,12.63,11.5,7.1
2013-02-17,인천,5.9,-5.1,0.7,0.2,12.02,12.7,7.6
2013-02-18,대구,7.8,0.7,3.9,6.2,6.98,10.8,6.8
2013-02-18,부산,7.8,5.0,6.3,10.1,4.03,16.6,12.7
2013-02-18,서울,4.3,-2.4,0.5,0.0,13.4,15.5,11.6
2013-02-18,인천,3.0,-2.5,0.1,0.0,13.53,21.3,15.6
2013-02-19,대구,5.3,-3.1,1.0,0.0,14.86,15.1,11.8
2013-02-19,부산,6.2,-0.8,3.7,0.0,12.53,18.6,14.2
2013-02-19,서울,1.3,-7.1,-2.6,0.0,16.57,20.0,15.8
2013-02-19,인천,0.6,-6.9,-2.9,0.0,16.72,23.6,19.7
2013-02-20,대구,4.0,-4.7,-1.3,0.0,18.04,15.3,11.8
2013-02-20,부산,4.9,-2.3,0.8,0.0,18.18,20.4,15.1
2013-02-20,서울,0.2,-8.2,-4.8,0.0,17.18,13.1,10.5
2013-02-20,인천,-0.8,-7.6,-4.8,0.0,17.18,17.6,12.8
2013-02-21,대구,5.9,-3.9,0.3,0.0,17.45,16.0,8.6
2013-02-21,부산,7.2,-0.5,2.7,0.0,17.56,15.6,10.7
2013-02-21,서울,2.3,-5.2,-2.3,0.0,16.88,14.7,8.7
2013-02-21,인천,1.2,-5.6,-2.4,0.0,16.97,15.2,8.6
2013-02-22,대구,8.6,-1.1,3.3,0.0,15.6,22.1,9.7
2013-02-22,부산,9.8,1.5,5.2,0.0,15.87,24.3,13.0
2013-02-22,서울,5.3,-4.8,-0.3,1.5,15.59,18.9,12.7
2013-02-22,인천,4.1,-4.0,0.1,1.4,15.81,21.5,15.5
2013-02-23,대구,4.9,-3.5,0.1,0.0,18.51,18.7,11.7
2013-02-23,부산,6.8,-1.3,2.4,0.0,18.73,18.5,15.3
2013-02-23,서울,2.9,-6.7,-2.1,0.0,16.74,23.9,13.2
2013-02-23,인천,2.3,-5.1,-1.6,0.0,16.81,26.8,15.7
2013-02-24,대구,7.9,-2.8,2.4,0.0,17.28,13.3,8.0
2013-02-24,부산,8.6,0.5,4.2,0.0,18.11,17.0,11.5
2013-02-24,서울,4.7,-4.5,-0.1,0.0,15.42,13.8,7.8
2013-02-24,인천,3.2,-4.3,-0.2,0.0,15.4,14.7,8.6
2013-02-25,대구,11.0,0.3,5.1,0.0,17.67,5.6,3.8
2013-02-25,부산,10.1,0.8,6.0,0.0,18.09,10.8,6.5
2013-02-25,서울,7.7,-2.5,2.2,0.0,15.18,7.6,4.9
2013-02-25,인천,6.1,-3.1,1.2,0.0,15.25,7.9,5.3
2013-02-26,대구,10.6,-0.3,5.1,0.0,7.74,7.6,3.8
2013-02-26,부산,10.4,4.0,7.5,0.0,7.19,11.5,6.5
2013-02-26,서울,7.4,-2.0,2.7,0.0,4.99,8.9,6.7
2013-02-26,인천,6.2,-1.5,2.4,0.0,4.77,10.5,7.4
2013-02-27,대구,12.6,1.5,6.7,0.0,18.48,15.5,9.1
2013-02-27,부산,14.1,4.7,9.1,0.0,19.01,13.2,8.5
2013-02-27,서울,8.8,-1.5,2.6,0.0,16.61,12.2,8.0
2013-02-27,인천,5.4,-1.0,1.8,0.0,16.33,13.7,9.6
2013-02-28,대구,16.9,3.3,8.6,0.0,18.46,16.7,7.4
2013-02-28,부산,13.5,2.8,8.8,0.0,18.87,15.3,8.8
2013-02-28,서울,13.3,-1.6,4.8,0.9,15.02,11.8,7.2
2013-02-28,인천,11.4,-1.2,4.2,0.5,15.04,13.0,8.8
2013-03-01,대구,7.5,-1.4,4.9,6.5,13.41,25.0,14.8
2013-03-01,부산,13.4,0.4,9.1,5.5,11.43,27.6,22.7
2013-03-01,서울,4.5,-2.7,0.9,3.5,18.19,28.1,17.7
2013-03-01,인천,4.4,-2.9,0.4,2.6,18.41,32.2,22.5
2013-03-02,대구,6.6,-3.0,0.9,0.0,19.7,17.2,11.9
2013-03-02,부산,7.3,-1.0,2.7,0.0,19.93,26.3,15.4
2013-03-02,서울,4.2,-4.5,-0.9,0.0,18.68,18.3,12.5
2013-03-02,인천,3.1,-4.6,-1.2,0.0,18.75,25.3,17.8
2013-03-03,대구,7.7,-2.0,1.9,0.0,19.68,12.5,7.8
2013-03-03,부산,8.7,0.5,4.5,0.0,19.68,10.7,8.5
2013-03-03,서울,3.7,-3.7,-0.7,0.0,17.92,13.7,8.8
2013-03-03,인천,2.3,-3.9,-1.0,0.0,17.86,14.8,9.7
2013-03-04,대구,10.7,-2.5,3.5,0.0,18.02,17.4,8.3
2013-03-04,부산,10.7,0.9,5.7,0.0,18.85,15.9,10.4
2013-03-04,서울,8.1,-4.2,1.2,0.0,14.8,17.0,10.6
2013-03-04,인천,6.7,-3.2,1.7,0.0,16.43,18.0,12.1
2013-03-05,대구,14.0,-0.3,5.9,0.0,20.13,9.9,6.2
2013-03-05,부산,11.6,1.2,7.0,0.0,20.29,17.0,11.0
2013-03-05,서울,7.7,-2.2,1.8,0.0,19.09,15.0,8.8
2013-03-05,인천,5.6,-3.4,1.3,0.0,19.17,16.7,9.9
2013-03-06,대구,17.8,2.1,8.2,0.0,19.74,9.7,5.3
2013-03-06,부산,14.5,4.6,9.4,0.0,19.98,18.2,11.3
2013-03-06,서울,13.8,-3.1,4.9,0.0,18.19,13.7,9.2
2013-03-06,인천,11.7,-0.9,5.1,0.0,18.19,20.2,11.9
2013-03-07,대구,16.3,2.4,9.1,1.8,12.18,20.1,11.2
2013-03-07,부산,15.6,9.8,12.6,0.4,13.26,31.3,18.5
2013-03-07,서울,12.9,1.7,7.5,2.4,14.18,18.5,12.4
2013-03-07,인천,10.1,2.2,6.4,2.0,16.51,22.7,15.4
2013-03-08,대구,20.2,2.0,10.9,0.0,17.34,20.9,9.2
2013-03-08,부산,16.9,6.1,11.3,0.0,16.24,26.3,13.6
2013-03-08,서울,13.0,-0.2,5.8,0.6,16.54,17.6,10.2
2013-03-08,인천,10.3,1.3,5.0,0.6,17.03,18.9,11.8
2013-03-09,대구,22.8,6.9,14.1,0.0,20.14,21.2,9.8
2013-03-09,부산,16.7,6.6,12.6,0.0,20.19,25.7,13.9
2013-03-09,서울,20.2,-0.2,9.4,0.0,19.11,22.2,13.6
2013-03-09,인천,16.2,0.8,7.9,0.0,19.14,27.0,16.5
2013-03-10,대구,10.8,1.0,6.9,0.0,21.3,18.2,13.6
2013-03-10,부산,14.3,6.0,10.7,0.0,19.83,26.2,13.2
2013-03-10,서울,6.6,-3.9,0.9,0.0,20.5,24.7,18.4
2013-03-10,인천,5.0,-3.8,0.3,0.0,20.54,31.1,23.1
2013-03-11,대구,12.6,-2.1,4.8,0.0,19.5,9.4,6.5
2013-03-11,부산,9.6,3.1,6.7,0.0,16.95,14.2,10.9
2013-03-11,서울,9.0,-3.7,2.0,0.0,20.48,8.9,6.2
2013-03-11,인천,6.4,-4.5,0.7,0.0,20.53,13.2,7.5
2013-03-12,대구,18.2,2.0,9.6,0.1,20.57,18.7,8.9
2013-03-12,부산,15.0,3.3,10.3,0.0,20.71,21.9,11.7
2013-03-12,서울,11.9,-2.8,4.7,6.4,13.1,14.6,7.9
2013-03-12,인천,9.9,-3.4,3.8,6.4,12.15,14.0,8.0
2013-03-13,대구,14.4,3.8,10.1,12.8,4.98,16.2,12.0
2013-03-13,부산,15.3,5.9,11.6,13.3,4.08,29.7,20.7
2013-03-13,서울,10.6,0.7,5.8,13.3,15.75,20.2,12.6
2013-03-13,인천,7.6,0.1,4.4,12.2,17.86,25.7,17.6
2013-03-14,대구,9.7,1.3,5.1,0.0,18.82,12.0,6.8
2013-03-14,부산,7.9,4.0,5.8,0.0,18.18,23.2,15.1
2013-03-14,서울,7.6,0.6,3.4,0.0,15.04,9.7,7.1
2013-03-14,인천,6.4,-0.9,2.7,0.0,15.53,14.6,9.3
2013-03-15,대구,14.8,0.8,7.1,0.0,21.67,10.3,5.8
2013-03-15,부산,12.8,2.8,8.1,0.0,21.57,16.4,11.0
2013-03-15,서울,8.2,-1.8,2.5,0.0,20.71,12.6,6.5
2013-03-15,인천,5.6,-0.9,1.8,0.0,20.62,13.0,7.0
2013-03-16,대구,16.4,1.6,8.6,0.0,21.47,9.2,6.8
2013-03-16,부산,16.0,6.1,10.8,0.0,21.55,12.6,8.1
2013-03-16,서울,10.8,-1.3,4.3,0.0,19.81,10.5,5.6
2013-03-16,인천,8.0,-0.6,3.6,0.0,19.48,12.6,6.9
2013-03-17,대구,18.2,2.0,10.1,7.7,19.78,18.4,8.4
2013-03-17,부산,14.5,8.2,11.8,4.8,18.8,19.8,11.0
2013-03-17,서울,12.7,-1.5,5.2,5.0,15.46,12.2,6.4
2013-03-17,인천,8.8,-1.6,3.5,5.0,14.58,11.5,6.1
2013-03-18,대구,18.0,7.9,11.9,34.9,16.24,9.8,6.9
2013-03-18,부산,16.4,12.0,14.3,31.6,15.91,38.3,16.9
2013-03-18,서울,12.4,2.4,7.0,3.9,20.58,15.3,9.3
2013-03-18,인천,9.2,2.4,5.6,3.0,20.46,15.9,10.7
2013-03-19,대구,20.8,7.1,12.7,0.0,21.15,16.3,8.1
2013-03-19,부산,16.0,8.4,12.1,0.0,21.43,16.1,9.2
2013-03-19,서울,9.9,2.1,5.9,0.0,12.26,10.3,4.9
2013-03-19,인천,7.8,1.0,4.5,0.0,12.15,12.5,5.9
2013-03-20,대구,16.6,-0.5,8.9,0.0,12.86,24.5,12.6
2013-03-20,부산,17.0,3.1,11.9,0.0,14.56,25.5,14.0
2013-03-20,서울,6.7,-2.8,3.5,0.8,13.99,27.2,14.8
2013-03-20,인천,5.5,-2.1,2.7,0.3,15.72,33.1,20.9
2013-03-21,대구,10.4,-3.4,3.5,0.0,23.09,15.1,7.9
2013-03-21,부산,9.3,-0.3,4.4,0.0,23.46,21.4,11.6
2013-03-21,서울,4.7,-5.4,-0.5,0.0,22.14,14.1,7.8
2013-03-21,인천,2.7,-3.8,-0.6,0.0,22.06,20.4,10.0
2013-03-22,대구,11.9,1.6,6.4,0.0,13.24,9.9,5.1
2013-03-22,부산,12.4,5.8,9.1,0.1,14.09,17.7,11.2
2013-03-22,서울,7.5,-1.9,2.5,0.0,11.46,13.8,8.1
2013-03-22,인천,6.6,-2.0,2.6,0.0,11.86,15.0,10.0
2013-03-23,대구,14.1,0.9,7.0,0.0,21.2,10.2,6.8
2013-03-23,부산,12.4,5.0,8.9,0.0,20.45,14.0,10.3
2013-03-23,서울,10.1,-3.6,3.1,0.0,22.29,10.2,6.4
2013-03-23,인천,7.3,-2.8,2.2,0.0,22.24,12.1,7.4
2013-03-24,대구,13.3,3.8,8.4,0.0,21.28,12.4,6.8
2013-03-24,부산,14.7,6.5,10.6,0.0,20.15,14.1,6.9
2013-03-24,서울,9.1,-1.0,3.7,0.0,22.14,15.5,10.5
2013-03-24,인천,7.6,-1.3,3.2,0.0,22.12,19.8,12.9
2013-03-25,대구,9.4,0.7,5.0,0.0,23.22,16.1,10.4
2013-03-25,부산,11.2,5.5,8.0,0.0,21.69,14.0,12.3
2013-03-25,서울,6.9,-3.6,1.5,0.0,21.62,16.9,12.3
2013-03-25,인천,6.0,-1.3,2.0,0.0,22.44,21.6,17.4
2013-03-26,대구,13.2,-0.6,5.9,0.0,23.02,9.7,5.9
2013-03-26,부산,11.3,4.1,7.7,0.0,22.58,11.9,8.6
2013-03-26,서울,8.3,-2.5,2.5,0.0,22.71,9.8,5.6
2013-03-26,인천,6.2,-1.8,2.3,0.0,22.64,11.6,6.4
2013-03-27,대구,17.8,4.3,10.2,0.0,21.15,10.1,5.3
2013-03-27,부산,14.3,7.6,11.0,0.0,19.96,16.2,7.7
2013-03-27,서울,11.3,-2.2,4.2,0.0,23.02,11.4,6.8
2013-03-27,인천,8.3,-1.2,3.7,0.0,22.98,11.3,7.0
2013-03-28,대구,18.9,4.4,11.4,0.0,22.74,12.6,5.9
2013-03-28,부산,17.0,7.3,12.1,0.0,23.14,14.3,8.1
2013-03-28,서울,11.3,-0.3,5.6,0.0,15.02,14.1,8.4
2013-03-28,인천,9.5,0.1,5.0,0.0,13.86,16.5,10.1
2013-03-29,대구,13.6,4.2,8.5,0.0,23.95,13.2,10.4
2013-03-29,부산,13.7,7.7,10.2,0.0,23.1,16.2,11.4
2013-03-29,서울,9.4,-2.7,3.8,0.0,23.49,17.3,10.5
2013-03-29,인천,8.2,-0.1,4.0,0.0,23.44,20.6,15.3
2013-03-30,대구,15.6,2.6,8.6,0.0,21.27,12.4,6.3
2013-03-30,부산,13.2,6.7,10.1,0.0,21.5,9.7,6.9
2013-03-30,서울,10.6,0.2,4.2,1.1,16.87,14.9,6.2
