col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014
7. 양수발전 전력거래 내역,,,,,,,,,,,,,
Electric Trading Details for PSH Generation,,,,,,,,,,,,,
구분,"시장참여
설비용량",,전력거래량,,전력거래금액,,정산단가,,동력(펌핑)량,,동력(펌핑) 정산금,,"[단위 : MW, GWh, 억원, 원/kWh, %]"
,Market-Registrated Generation Capacity,,Electric Energy Trading Volume,,Payment in Power Market,,Unit Price of Settlement,,Pumping Power Volume,,Payment for Pumping Power,,"[Unit : MW, GWh, 100 Million Won, Won/kWh, %]"
,(MW),증감률(%),(GWh),증감률(%),(억원),증감률(%),(원/kWh),증감률(%),(GWh),증감률(%),(억원),증감률(%),
,,Rate of Change(%),,Rate of Change(%),(100 Million Won),Rate of Change(%),(Won/kWh),Rate of Change(%),,Rate of Change(%),(100 Million Won),Rate of Change(%),
2001,2300,0,1528,,1147,0,75.06,,2014,,292,,
2002,2300,0,2068,35.4,1729,50.7,83.58,11.4,2686,33.3,523,79.1,
2003,2300,0,1978,-4.4,1861,7.6,94.08,12.6,2575,-4.1,443,-15.2,
2004,2300,0,1527,-22.8,1652,-11.2,108.2,15,1994,-22.6,396,-10.6,
2005,2300,0,1503,-1.6,1628,-1.5,108.28,0.1,1980,-0.7,456,14.9,
2006,3900,69.6,1741,15.8,2381,46.3,136.8,26.3,2315,16.9,705,54.6,
2007,3900,0,1398,-19.7,2284,-4.1,163.31,19.4,1817,-21.5,728,3.3,
2008,3900,0,2480,77.4,4880,113.7,196.78,20.5,3243,78.5,1895,160.2,
2009,3900,0,2814,13.5,4212,-13.7,149.7,-23.9,3713,14.5,1982,4.6,
2010,3900,0,2774,-1.4,5621,33.5,202.61,35.3,3663,-1.4,2545,28.4,
2011,4700,20.5,3214,15.9,5427,-3.5,168.83,-16.7,4257,16.2,3708,45.7,
2012,4700,0,3634,13.1,7774,43.2,213.93,26.7,4789,12.5,5548,49.6,
2013,4700,0,4088,12.5,8349,7.4,204.21,-4.5,5408,12.9,6169,11.2,
2014,4700,0,5042,23.3,8647,3.6,171.5,-16,6644,22.9,7204,16.8,
2015,4700,0,3641,-27.8,4833,-44.1,132.75,-22.6,4824,-27.4,3711,-48.5,
2016,4700,0,3618,-0.6,3842,-20.5,106.21,-20,4716,-2.2,2830,-23.7,
2017,4700,0,4176,15.4,4494,17,107.6,1.3,5477,16.1,3545,25.3,
2018,4700,0,3899,-6.7,4887,8.8,125.37,16.5,5106,-6.8,3945,11.3,
2019,4700,0,3448,-11.6,4181,-14.5,121.25,-3.3,4590,-10.1,3407,-13.6,
2020,4700,0,3262,-5.39443155452436,3680,-11.982779239416407,112.8,-6.969072164948454,4352.176450019,-5.181340958191716,2338.6626488800002,-31.35712800469621,
2021,4700,0,3674,12.6,5149,39.9,140.13,24.2,4857,11.6,3487,49.1,
2022,4700,0,3706,0.9,10286,99.8,277.58,98.1,4916,1.2,7007,100.9,
2023,4700,0,3778,1.9,9099,-11.5,240.84,-13.2,4925,0.2,5444,-22.3,
2023.1,4700,0,313,-5,764,-22.7,243.95,-18.6,421,-5.5,519,5.1,
2,4700,0,259,-19.8,655,-29.5,252.84,-12.1,348,-19.8,447,-24,
3,4700,0,343,-0.1,1085,39.6,316.69,39.7,448,-1.7,646,-4.4,
4,4700,0,358,34.6,705,11.4,197.19,-17.3,469,33.6,541,3.2,
5,4700,0,365,24.7,754,53.7,206.57,23.3,473,19.7,483,18.3,
6,4700,0,277,0.5,629,35.2,227.15,34.5,353,-1.7,387,6.8,
7,4700,0,271,-5.4,701,-16.5,258.95,-11.7,349,-7.2,400,-10.6,
8,4700,0,262,-20.1,729,-41,278.29,-26.2,338,-21.9,393,-41.8,
9,4700,0,324,2.8,760,-25.5,234.54,-27.5,417,2.4,417,-40.8,
10,4700,0,377,16.7,800,-21.4,212.33,-32.7,484,13.1,447,-45.9,
11,4700,0,335,7.5,738,-25.4,220.17,-30.6,435,5.1,393,-49.2,
12,4700,0,295,-5.5,780,-13.5,264.05,-8.5,390,-6.5,370,-29.6,
"1) RPS의무이행비용, 배출권거래비용 및 예측제도정산금을 제외한 금액임",,,,,,,,,,,,,
