col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
1. 전력시장참여 설비용량,,,,,,,,,
Market-Registrated Generation Capacity,,,,,,,,,
구분,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,[단위 : MW]
원자력,Nuclear Power,22529.0,21850.0,23250.0,23250.0,23250.0,24650.0,26050.0,[Unit : MW]
석탄,Coal,37100.0,37363.0,37456.0,38346.0,38291.0,39621.0,40690.0,
LNG,LNG,35609.0,36961.0,38875.0,40725.0,41528.0,42108.0,44257.0,
유류,Oil,3950.0,4122.0,3479.0,2082.0,2082.0,838.0,615.0,
양수,PSH,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,
신재생,Renewable,9694.0,10588.0,8738.0,10696.0,12170.0,13944.0,15949.0,
기타,Others,82.0,77.0,4623.0,4767.0,4857.0,4800.0,5241.0,
합계,Total,113665.0,115660.0,121122.0,124566.0,126878.0,130661.0,137501.0,
2. 전력거래량,,,,,,,,,
Electric Energy Trading Volume,,,,,,,,,
구분,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,[단위 : GWh]
원자력,Nuclear Power,141278.0,127078.0,138809.0,152583.0,150457.0,167513.0,171685.0,[Unit : GWh]
석탄,Coal,229150.0,229350.0,217616.0,187381.0,188971.0,186016.0,178930.0,
LNG,LNG,117636.0,144067.0,138902.0,141014.0,163401.0,159617.0,153519.0,
유류,Oil,5732.0,6562.0,4017.0,2188.0,1998.0,1211.0,620.0,
양수,PSH,4176.0,3899.0,3448.0,3262.0,3674.0,3706.0,3778.0,
신재생,Renewable,22604.0,25607.0,24592.0,22400.0,25793.0,31351.0,33719.0,
기타,Others,340.0,499.0,2466.0,7155.0,2767.0,1965.0,2421.0,
합계,Total,520917.0,537061.0,529851.0,515983.0,537061.0,551380.0,544671.0,
3. 전력거래금액,,,,,,,,,
Payment in Power Market,,,,,,,,,
구분,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,[단위 : 억원]
원자력,Nuclear Power,85723.0,78910.0,80941.0,90956.0,84478.0,87905.0,94398.0,[Unit : 100 Million Won]
석탄,Coal,180551.0,188173.0,187927.0,152742.0,187187.0,292070.0,250335.0,
LNG,LNG,131286.0,174366.0,164803.0,138963.0,198852.0,381961.0,328853.0,
유류,Oil,9483.0,11774.0,9177.0,4222.0,4483.0,3755.0,2210.0,
양수,PSH,4494.0,4887.0,4181.0,3680.0,5149.0,10286.0,9099.0,
신재생,Renewable,20461.0,25251.0,24585.0,17983.0,27448.0,64510.0,57799.0,
기타,Others,272.0,471.0,2293.0,6048.0,2629.0,3858.0,3874.0,
"RPS의무이행비용
정산금",Renewable Portfolio Standard Payment,14631.0,20571.0,22422.0,20031.0,34982.0,37575.0,29408.0,
"배출권거래비용
정산금",Emission Trading Settlement Payment,813.0,2624.0,3388.0,1301.0,5518.0,3409.0,3880.0,
예측제도 정산금,Power Demand Forecasting Payment,,,,,2.0,64.0,158.0,
합계,Total,447712.0,507027.0,499718.0,435925.0,550727.0,885394.0,780015.0,
4. 정산단가,,,,,,,,,
Unit Price of Settlement,,,,,,,,,
구분,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,[단위 : 원/kWh]
원자력,Nuclear Power,60.68,62.1,58.31,59.61,56.15,52.48,54.98,[Unit : Won/kWh]
석탄,Coal,78.79,82.05,86.36,81.51,99.06,157.01,139.91,
LNG,LNG,111.6,121.03,118.65,98.55,121.7,239.3,214.21,
유류,Oil,165.44,179.43,228.48,193.02,224.36,310.11,356.68,
양수,PSH,107.6,125.37,121.25,112.8,140.13,277.58,240.84,
신재생,Renewable,90.52,98.61,99.97,80.28,106.42,205.77,171.42,
기타,Others,80.01,94.29,92.99,84.52,94.98,196.29,160.04,
평균,Average,82.98,90.09,89.44,80.35,95.0,153.13,137.07,
5. 계통한계가격(SMP),,,,,,,,,
System Marginal Price(Energy market price),,,,,,,,,
구분,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,[단위 : 원/kWh]
통합SMP,Total SMP,81.77,95.16,90.74,68.87,94.34,196.65,167.11,[Unit : Won/kWh]
육지SMP,Main Land SMP,81.39,94.64,90.09,68.52,93.98,196.04,167.0,
제주SMP,Jeju SMP,119.72,146.69,152.78,101.54,127.85,252.21,176.94,
