col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014
7. 양수발전 전력거래 내역,,,,,,,,,,,,,
Electric Trading Details for PSH Generation,,,,,,,,,,,,,
구분,"시장참여
설비용량",,전력거래량,,전력거래금액,,정산단가,,동력(펌핑)량,,동력(펌핑) 정산금,,"[단위 : MW, GWh, 억원, 원/kWh, %]"
,Market-Registered Generation Capacity,,Electric Energy Trading Volume,,Payment in Power Market,,Unit Price of Settlement,,Pumping Power Volume,,Payment for Pumping Power,,"[Unit : MW, GWh, 100 Million Won, Won/kWh, %]"
,(MW),증감률(%),(GWh),증감률(%),(억원),증감률(%),(원/kWh),증감률(%),(GWh),증감률(%),(억원),증감률(%),
,,Rate of Change(%),,Rate of Change(%),(100 Million Won),Rate of Change(%),(Won/kWh),Rate of Change(%),,Rate of Change(%),(100 Million Won),Rate of Change(%),
2001,2300,0,1528,,1147,0,75.06,,2014,,292,,
2002,2300,0,2068,35.4,1729,50.7,83.58,11.4,2686,33.3,523,79.1,
2003,2300,0,1978,-4.4,1861,7.6,94.08,12.6,2575,-4.1,443,-15.2,
2004,2300,0,1527,-22.8,1652,-11.2,108.2,15,1994,-22.6,396,-10.6,
2005,2300,0,1503,-1.6,1628,-1.5,108.28,0.1,1980,-0.7,456,14.9,
2006,3900,69.6,1741,15.8,2381,46.3,136.8,26.3,2315,16.9,705,54.6,
2007,3900,0,1398,-19.7,2284,-4.1,163.31,19.4,1817,-21.5,728,3.3,
2008,3900,0,2480,77.4,4880,113.7,196.78,20.5,3243,78.5,1895,160.2,
2009,3900,0,2814,13.5,4212,-13.7,149.7,-23.9,3713,14.5,1982,4.6,
2010,3900,0,2774,-1.4,5621,33.5,202.61,35.3,3663,-1.4,2545,28.4,
2011,4700,20.5,3214,15.9,5427,-3.5,168.83,-16.7,4257,16.2,3708,45.7,
2012,4700,0,3634,13.1,7774,43.2,213.93,26.7,4789,12.5,5548,49.6,
2013,4700,0,4088,12.5,8349,7.4,204.21,-4.5,5408,12.9,6169,11.2,
2014,4700,0,5042,23.3,8647,3.6,171.5,-16,6644,22.9,7204,16.8,
2015,4700,0,3641,-27.8,4833,-44.1,132.75,-22.6,4824,-27.4,3711,-48.5,
2016,4700,0,3618,-0.6,3842,-20.5,106.21,-20,4716,-2.2,2830,-23.7,
2017,4700,0,4176,15.4,4494,17,107.6,1.3,5477,16.1,3545,25.3,
2018,4700,0,3899,-6.7,4887,8.8,125.37,16.5,5106,-6.8,3945,11.3,
2019,4700,0,3448,-11.6,4181,-14.5,121.25,-3.3,4590,-10.1,3407,-13.6,
2020,4700,0,3262,-5.39443155452436,3680,-11.982779239416407,112.8,-6.969072164948454,4352.176450019,-5.181340958191716,2338.6626488800002,-31.35712800469621,
2021,4700,0,3674,12.6,5149,39.9,140.13,24.2,4857,11.6,3487,49.1,
2022,4700,0,3706,0.9,10286,99.8,277.58,98.1,4916,1.214741610047354,7007,100.94637223974763,
2023,4700,0,3778,1.9,9099,-11.5,240.84,-13.2,4925,0.18307567127746616,5444,-22.306265163408025,
2024,4700,0,4670,23.6,9758,7.2,208.98,-13.2,6097,23.79695431472082,5466,0.4041146216017699,
2024.1,4700,0,374,19.5,1016,33,271.53,11.3,493,17.1,491,-5.4,
2,4700,0,350,35.2,763,16.5,217.96,-13.8,457,31.4,339,-24,
3,4700,0,464,35.5,970,-10.6,208.94,-34,611,36.5,542,-16.1,
4,4700,0,424,18.6,788,11.7,185.66,-5.8,556,18.7,485,-10.3,
5,4700,0,464,27,831,10.2,179.19,-13.3,603,27.3,558,15.5,
6,4700,0,348,25.5,661,5,190.07,-16.3,450,27.5,411,6.3,
7,4700,0,344,27.2,779,11.2,226.5,-12.5,445,27.6,457,14.1,
8,4700,0,371,41.7,910,24.8,245.09,-11.9,483,42.8,541,37.4,
9,4700,0,352,8.6,757,-0.4,215.07,-8.3,456,9.2,466,11.8,
10,4700,0,405,7.4,702,-12.3,173.39,-18.3,525,8.4,424,-5.2,
11,4700,0,372,11.2,693,-6.1,186.04,-15.5,493,13.4,344,-12.5,
12,4700,0,401,35.8,889,14.1,221.77,-16,526,34.8,408,10.3,
"1) RPS의무이행비용, 배출권거래비용 및 예측제도정산금을 제외한 금액임",,,,,,,,,,,,,
