col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046
4. 2025년 계통한계가격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3. 계통한계가격 결정횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of System Marginal Price Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3-1. 월별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,4-3-2. 시간대별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of System Marginal Price Set by Month,,,,,,,,,,,,,,,,Number of System Marginal Price Set by Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3-1-1. 회원사별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,4-3-2-1. 회원사별 계통한계가격 결정횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of System Marginal Price Set by Members,,,,,,,,,,,,,,,,Number of System Marginal Price Set by Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 횟수],구분,,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 횟수]
,,January,February,March,April,May,June,July,August,September,October,November,December,Total,[Unit : Number of Times],,,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : Number of Times]
A 회원사,Member A,2,1,1,1,0,0,0,0,0,1,0,1,7,,A 회원사,Member A,0,0,0,0,0,0,0,0,0,0,0,0,A 회원사,Member A,4,3,0,0,0,0,0,0,0,0,0,0,7,
B 회원사,Member B,32,43,58,56,46,23,0,37,31,61,31,54,472,,B 회원사,Member B,21,20,28,26,27,32,24,15,24,39,35,32,B 회원사,Member B,7,15,12,21,12,10,10,10,10,13,15,14,472,
C 회원사,Member C,118,64,120,24,17,0,81,25,136,67,29,11,692,,C 회원사,Member C,28,36,47,48,49,41,32,23,48,23,29,15,C 회원사,Member C,17,24,18,19,22,26,26,16,20,31,29,25,692,
D 회원사,Member D,61,37,19,62,47,25,30,27,2,44,21,9,384,,D 회원사,Member D,23,14,17,19,18,15,9,6,10,12,11,14,D 회원사,Member D,37,19,26,19,15,14,18,18,15,12,13,10,384,
E 회원사,Member E,16,30,20,30,77,18,98,98,37,40,68,78,610,,E 회원사,Member E,17,16,21,24,23,14,18,11,19,25,29,23,E 회원사,Member E,5,28,32,31,40,39,53,45,44,20,16,17,610,
