col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009
8. 항목별 전력거래량,,,,,,,,
Electric Energy Trading Volume by Item,,,,,,,,
구분,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,Day-Ahead Operation Scheduled energy,Market Registration Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Power Trading Volume,"[Unit : GWh, MW]"
,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
2001,195482,47609,261722,260460,260432,198790,198788,
2002,277002,49849,362860,360288,360251,280737,280734,
2003,293172,56889,391592,388514,388459,299395,299394,
2004,311853,58910,408298,403885,403862,317902,317901,
2005,333130,61532,437543,433590,433561,338737,338737,
2006,352304,65336,452080,448348,448307,354805,354805,
2007,370178,68441,464133,459649,459338,374386,374384,
2008,387121,71207,496922,492145,491643,392325,392323,
2009,399109,73288,515923,512782,512123,405695,405692,
2010,428427,77360,522703,519224,518318,440871,440868,
2011,445849,78826,544981,541353,540289,462345,462343,
2012,452768,82524,534322,531018,530438,471796,471795,
2013,460488,87075,543252,539702,539366,479543,479541,
2014,468803,93663,588146,582747,581783,490403,490399,
2015,475570,98798,637529,629930,629701,495362,495361,
2016,486302,108231,645863,636764,636245,509235,509234,
2017,492837,113665,707554,700127,699568,520924,520917,
2018,508092,115660,697687,690861,690334,537062,537061,
2019,497797,121122,717383,710382,710041,529852,529851,
2020,479126,124566,730285,723304,722936,515984,515983,
2021,501189,126878,718408,710059,709850,537061,537061,
2022,512458,130661,740375,732159,731964,551380,551380,
2023,500149,137501,761935,751839,751608,544677,544671,
2023.1,47496,131024,69617,68824,68804,50648,50648,
2,41891,132361,60972,60298,60291,44305,44305,
3,40668,133126,60439,59621,59611,44082,44082,
4,36833,133543,55464,54659,54642,40537,40537,
5,37319,133758,58061,56934,56916,41720,41720,
6,39609,133835,60019,58967,58923,43141,43141,
7,45383,134212,70963,70361,70351,49471,49470,
8,47382,135400,71470,71046,71033,51072,51071,
9,40412,135607,63310,62688,62676,44589,44588,
10,37269,135797,57625,56836,56826,41291,41289,
11,40148,135973,62234,61223,61184,44373,44372,
12,45739,137501,71761,70381,70352,49447,49445,
"1) 발전계획량은 2022년 8월 이전은 가격결정발전계획량이며, 2022년 9월 이후는 하루전발전계획량임",,,,,,,,
