col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120
5. 2025년 계통운영보조서비스정산금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancillary Service Payment in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,,5-2. 월간 계통운영보조서비스정산금,,,,,,,,,
Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,,Monthly Ancillary Service Payment,,,,,,,,,
5-2-1. 연료원별 월간 계통운영보조서비스정산금(1월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(2월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(3월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(4월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(5월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(6월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(7월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(8월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(9월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(10월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(11월),,,,,,,,,,5-2-1. 연료원별 월간 계통운영보조서비스정산금(12월),,,,,,,,,
Monthly Ancillary Service Payment by Fuel Type(January),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(February),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(March),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(April),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(May),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(June),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(July),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(August),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(September),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(October),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(November),,,,,,,,,,Monthly Ancillary Service Payment by Fuel Type(December),,,,,,,,,
구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,,[단위 : 백만원]
,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,,[Unit : One Million Won]
,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,마일리지정산금,예비력용량가치정산금,보조서비스정산금,
,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,mileage payment,Lost Opportunity Cost of Reserve Payment,ASP Total,
