col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169,col_170,col_171,col_172,col_173,col_174,col_175,col_176,col_177,col_178,col_179,col_180,col_181,col_182,col_183,col_184,col_185,col_186,col_187,col_188,col_189,col_190,col_191,col_192,col_193,col_194,col_195,col_196,col_197,col_198,col_199,col_200,col_201,col_202,col_203,col_204,col_205,col_206,col_207,col_208,col_209,col_210,col_211,col_212,col_213,col_214,col_215,col_216,col_217,col_218,col_219,col_220,col_221,col_222,col_223,col_224,col_225,col_226,col_227,col_228,col_229,col_230,col_231,col_232,col_233,col_234,col_235,col_236,col_237,col_238,col_239,col_240,col_241,col_242,col_243,col_244,col_245,col_246,col_247,col_248,col_249,col_250,col_251,col_252,col_253,col_254,col_255,col_256,col_257,col_258,col_259,col_260,col_261,col_262,col_263,col_264,col_265,col_266,col_267,col_268,col_269,col_270,col_271,col_272,col_273,col_274,col_275,col_276,col_277,col_278,col_279,col_280,col_281,col_282,col_283,col_284,col_285,col_286,col_287,col_288,col_289,col_290,col_291,col_292,col_293,col_294,col_295,col_296,col_297,col_298,col_299,col_300,col_301,col_302,col_303,col_304,col_305,col_306,col_307,col_308,col_309,col_310,col_311,col_312,col_313,col_314,col_315,col_316,col_317,col_318,col_319,col_320,col_321,col_322,col_323,col_324
5. 2023년 지역별 신재생에너지 전력거래 내역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics of Renewable Energy Trade by Region in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2. 월간 지역별 신재생에너지 전력거래 내역(1월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(2월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(3월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(4월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(5월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(6월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(7월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(8월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(9월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(10월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(11월),,,,,,,,,,,,,,,,,,,,,,,,,,,5-2. 월간 지역별 신재생에너지 전력거래 내역(12월),,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Statistics of Renewable Energy Trade by Region(January),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(February),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(March),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(April),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(May),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(June),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(July),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(August),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(September),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(October),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(November),,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Statistics of Renewable Energy Trade by Region(December),,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]",구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]"
,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]",,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]"
"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,34,4,2,50,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,68,227,7,21,1,5,28,42,867,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,34,4,2,50,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,65,227,7,21,1,5,36,42,873,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,34,4,2,50,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,892,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,34,4,2,69,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,911,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,34,4,2,69,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,911,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,54,4,17,69,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,946,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,54,4,17,69,17,63,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,942,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,54,4,17,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,962,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,254,83,4,37,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,1011,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,255,98,4,37,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,1,5,36,42,1027,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,255,98,4,37,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,4,5,36,42,1030,,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,255,98,4,37,69,17,83,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-Registration Generation Capacity
(MW)",연료전지,Fuel Cell,85,227,7,21,4,5,36,42,1030,
,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,,,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,
,,태양광,Photovoltaic,318,595,466,707,2500,796,844,339,374,,,태양광,Photovoltaic,17,48,15,65,57,28,38,103,7310,,,,태양광,Photovoltaic,320,597,470,712,2509,802,846,339,381,,,태양광,Photovoltaic,17,51,15,65,57,31,38,107,7356,,,,태양광,Photovoltaic,321,606,480,726,2519,806,854,347,394,,,태양광,Photovoltaic,17,51,15,65,59,31,38,112,7440,,,,태양광,Photovoltaic,327,614,480,735,2537,812,863,350,407,,,태양광,Photovoltaic,17,51,15,65,60,31,39,112,7517,,,,태양광,Photovoltaic,336,624,487,741,2557,815,874,357,425,,,태양광,Photovoltaic,18,51,15,66,61,31,42,113,7613,,,,태양광,Photovoltaic,338,632,489,745,2575,815,881,361,425,,,태양광,Photovoltaic,18,53,15,66,61,31,42,114,7661,,,,태양광,Photovoltaic,338,639,496,765,2632,821,1191,362,427,,,태양광,Photovoltaic,18,53,15,66,61,31,43,117,8075,,,,태양광,Photovoltaic,337,647,497,771,2705,828,1204,365,428,,,태양광,Photovoltaic,18,53,15,68,61,31,43,117,8187,,,,태양광,Photovoltaic,351,653,502,787,2728,838,1210,370,428,,,태양광,Photovoltaic,18,54,15,68,61,31,46,117,8276,,,,태양광,Photovoltaic,358,678,511,799,2756,838,1217,365,438,,,태양광,Photovoltaic,18,57,15,68,61,32,48,118,8376,,,,태양광,Photovoltaic,364,682,520,808,2769,852,1220,368,439,,,태양광,Photovoltaic,18,57,17,68,61,32,51,119,8446,,,,태양광,Photovoltaic,365,689,535,820,2826,863,1225,370,441,,,태양광,Photovoltaic,18,57,17,70,62,32,51,123,8563,
,,풍력,Wind,5,522,86,467,425,80,2,0,295,,,풍력,Wind,0,49,0,0,0,0,2,1,1934,,,,풍력,Wind,5,522,86,467,425,80,2,0,295,,,풍력,Wind,0,49,0,0,0,0,2,1,1934,,,,풍력,Wind,5,527,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1936,,,,풍력,Wind,5,527,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1936,,,,풍력,Wind,5,527,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1936,,,,풍력,Wind,5,527,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1936,,,,풍력,Wind,5,524,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1932,,,,풍력,Wind,5,524,86,467,425,80,2,0,292,,,풍력,Wind,0,49,0,0,0,0,2,1,1932,,,,풍력,Wind,5,528,86,527,425,80,2,0,297,,,풍력,Wind,0,49,0,0,0,0,2,1,2002,,,,풍력,Wind,5,528,86,527,455,80,2,0,318,,,풍력,Wind,0,49,0,0,0,0,2,1,2052,,,,풍력,Wind,5,528,86,527,455,80,2,0,418,,,풍력,Wind,0,49,0,0,0,0,2,1,2152,,,,풍력,Wind,5,528,86,527,455,80,2,0,418,,,풍력,Wind,0,49,0,0,0,0,2,1,2152,
