col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
2013,-,-,359,4.1,1223,14,2353,26.9,699,8,1197,13.7,2929,33.4,8760,,
2014,-,-,519,5.9,1128,12.9,1900,21.7,1488,17,781,8.9,2944,33.6,8760,,
2015,-,-,1133,12.9,908,10.4,1294,14.8,2076,23.7,402,4.6,2947,33.6,8760,,
2016,-,-,754,8.6,1071,12.2,1439,16.4,1938,22.1,740,8.4,2842,32.4,8784,,
2017,-,-,1211,13.8,704,8,1077,12.3,1104,12.6,671,7.7,3993,45.6,8760,,
2018,-,-,629,7.2,563,6.4,728,8.3,1179,13.5,622,7.1,5039,57.5,8760,,
2019,-,-,959,10.9,608,6.9,557,6.4,1056,12.1,506,5.8,5074,57.9,8760,,
2020,-,-,1195,13.6,708,8.1,1324,15.1,1107,12.6,672,7.7,3778,43,8784,,
2021,-,-,786,9,610,7,856,9.8,1071,12.2,635,7.2,4802,54.8,8760,,
2022,2,0.0228310502283105,832,9.497716894977168,787,8.984018264840183,786,8.972602739726028,1365,15.582191780821919,240,2.73972602739726,4748,54.20091324200913,8760,,
2023,0,0,481,5.5,1131,12.9,493,5.6,714,8.2,204,2.3,5737,65.5,8760,,
2024,5,0.1,466,5.3,1162,13.2,452,5.1,320,3.6,178,2,6195,70.6,8778,,
2024.1,0,0,60,8.1,72,9.7,27,3.6,41,5.5,48,6.5,496,66.7,744,,
2,3,0.4,114,16.5,204,29.4,2,0.3,29,4.2,6,0.9,335,48.3,693,,
3,1,0.1,53,7.1,151,20.3,0,0,11,1.5,4,0.5,524,70.4,744,,
4,0,0,52,7.2,90,12.5,0,0,17,2.4,14,1.9,547,76,720,,
5,0,0,51,6.9,61,8.2,31,4.2,35,4.7,12,1.6,554,74.5,744,,
6,0,0,18,2.5,121,16.8,68,9.4,8,1.1,7,1,498,69.2,720,,
7,0,0,2,0.3,113,15.2,71,9.5,37,5,5,0.7,516,69.4,744,,
8,0,0,6,0.8,77,10.3,43,5.8,63,8.5,33,4.4,522,70.2,744,,
9,0,0,0,0,51,7.1,56,7.8,25,3.5,10,1.4,578,80.3,720,,
10,0,0,20,2.7,52,7,54,7.3,15,2,6,0.8,597,80.2,744,,
11,0,0,31,4.3,63,8.8,28,3.9,12,1.7,2,0.3,581,81,717,,
12,1,0.1,59,7.9,107,14.4,72,9.7,27,3.6,31,4.2,447,60.1,744,,
6-3. 연료원별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Fuel Type,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,합계,"[단위 : 횟수, %]",
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,,
2001,6,0.1,2290,34.8,2640,40.1,1640,24.9,-,-,-,-,-,-,6576,,
2002,11,0.1,2282,26.1,5048,57.6,1419,16.2,-,-,-,-,-,-,8760,,
2003,20,0.2,2084,23.8,5369,61.3,1287,14.7,-,-,-,-,-,-,8760,,
2004,1,0.0,1620,18.4,5792,65.9,1371,15.6,-,-,-,-,-,-,8784,,
2005,-,-,1641,18.7,6256,71.4,863,9.9,-,-,-,-,-,-,8760,,
2006,1,0.0,1461,16.7,5715,65.2,1583,18.1,-,-,-,-,-,-,8760,,
2007,-,-,876,10,6182,70.6,1702,19.4,-,-,-,-,-,-,8760,,
2008,-,-,887,10.1,6850,78,1047,11.9,-,-,-,-,-,-,8784,,
2009,-,-,1477,16.9,6282,71.7,1001,11.4,-,-,-,-,-,-,8760,,
2010,-,-,606,6.9,6970,79.6,1184,13.5,-,-,-,-,-,-,8760,,
2011,-,-,515,5.9,7617,87,628,7.2,-,-,-,-,-,-,8760,,
2012,-,-,202,2.3,7641,87,941,10.7,-,-,-,-,-,-,8784,,
2013,-,-,88,1,7727,88.2,945,10.8,-,-,-,-,-,-,8760,,
2014,-,-,223,2.5,8309,94.9,228,2.6,-,-,-,-,-,-,8760,,
2015,-,-,354,4,7898,90.2,508,5.8,-,-,-,-,-,-,8760,,
2016,-,-,216,2.5,7424,84.5,1144,13,-,-,-,-,-,-,8784,,
2017,-,-,1121,12.8,7160,81.7,479,5.5,-,-,-,-,-,-,8760,,
2018,-,-,341,3.9,8133,92.8,286,3.3,-,-,-,-,-,-,8760,,
2019,-,-,921,10.5,7818,89.2,21,0.2,-,-,-,-,-,-,8760,,
2020,-,-,2150,24.5,6634,75.5,-,-,-,-,-,-,-,-,8784,,
2021,-,-,856,9.8,7904,90.2,-,-,-,-,-,-,-,-,8760,,
2022,2,0.0228310502283105,1008,11.506849315068493,7621,86.99771689497717,125,1.4269406392694064,0,0,4,0.045662100456621,0,0,8760,,
2023,0,0,1316,15,7230,82.5,212,2.4,0,0,2,0,0,0,8760,,
2024,5,0.1,558,6.4,8199,93.4,12,0.1,0,0,0,0,4,0,8778,,
2024.1,0,0,110,14.8,629,84.5,2,0.3,0,0,0,0,3,0.4,744,,
2,3,0.4,114,16.5,575,83,0,0,0,0,0,0,1,0.1,693,,
3,1,0.1,15,2,728,97.8,0,0,0,0,0,0,0,0,744,,
4,0,0,37,5.1,683,94.9,0,0,0,0,0,0,0,0,720,,
5,0,0,43,5.8,701,94.2,0,0,0,0,0,0,0,0,744,,
6,0,0,19,2.6,701,97.4,0,0,0,0,0,0,0,0,720,,
7,0,0,1,0.1,741,99.6,2,0.3,0,0,0,0,0,0,744,,
8,0,0,0,0,738,99.2,6,0.8,0,0,0,0,0,0,744,,
9,0,0,0,0,719,99.9,1,0.1,0,0,0,0,0,0,720,,
10,0,0,47,6.3,697,93.7,0,0,0,0,0,0,0,0,744,, 
11,0,0,36,5,681,95,0,0,0,0,0,0,0,0,717,,
12,1,0.1,136,18.3,606,81.5,1,0.1,0,0,0,0,0,0,744,,
